Product,Category
"Beef stewing cuts, per kilogram",Meat
"Beef striploin cuts, per kilogram",Meat
"Beef top sirloin cuts, per kilogram",Meat
"Beef rib cuts, per kilogram",Meat
"Ground beef, per kilogram",Meat
"Pork loin cuts, per kilogram",Meat
"Pork rib cuts, per kilogram",Meat
"Pork shoulder cuts, per kilogram",Meat
"Whole chicken, per kilogram",Meat
"Chicken breasts, per kilogram",Meat
"Chicken thigh, per kilogram",Meat
"Chicken drumsticks, per kilogram",Meat
"Bacon, 500 grams",Meat
"Wieners, 400 grams",Meat
"Salmon, per kilogram",Fish and Other Seafood
"Shrimp, 300 grams",Fish and Other Seafood
"Canned salmon, 213 grams",Fish and Other Seafood
"Canned tuna, 170 grams",Fish and Other Seafood
"Meatless burgers, 226 grams",Other Food Items
"Milk, 1 litre",Dairy  and  Eggs
"Milk, 2 litres",Dairy  and  Eggs
"Milk, 4 litres",Dairy  and  Eggs
"Soy milk, 1.89 litres",Dairy  and  Eggs
"Nut milk, 1.89 litres",Dairy  and  Eggs
"Cream, 1 litre",Dairy  and  Eggs
"Butter, 454 grams",Dairy  and  Eggs
"Margarine, 907 grams",Dairy  and  Eggs
"Block cheese, 500 grams",Dairy  and  Eggs
"Yogurt, 500 grams",Dairy  and  Eggs
"Eggs, 1 dozen",Dairy  and  Eggs
"Apples, per kilogram","Fruits , Vegetable and Nuts"
"Oranges, per kilogram","Fruits , Vegetable and Nuts"
"Oranges, 1.36 kilograms","Fruits , Vegetable and Nuts"
"Bananas, per kilogram","Fruits , Vegetable and Nuts"
"Pears, per kilogram","Fruits , Vegetable and Nuts"
"Lemons, unit","Fruits , Vegetable and Nuts"
"Limes, unit","Fruits , Vegetable and Nuts"
"Grapes, per kilogram","Fruits , Vegetable and Nuts"
"Cantaloupe, unit","Fruits , Vegetable and Nuts"
"Strawberries, 454 grams","Fruits , Vegetable and Nuts"
"Avocado, unit","Fruits , Vegetable and Nuts"
"Potatoes, 4.54 kilograms",Grains and Starches
"Potatoes, per kilogram",Grains and Starches
"Sweet potatoes, per kilogram",Grains and Starches
"Tomatoes, per kilogram","Fruits , Vegetable and Nuts"
"Cabbage, per kilogram","Fruits , Vegetable and Nuts"
"Carrots, 1.36 kilograms","Fruits , Vegetable and Nuts"
"Onions, per kilogram","Fruits , Vegetable and Nuts"
"Onions, 1.36 kilograms","Fruits , Vegetable and Nuts"
"Celery, unit","Fruits , Vegetable and Nuts"
"Cucumber, unit","Fruits , Vegetable and Nuts"
"Mushrooms, 227 grams","Fruits , Vegetable and Nuts"
"Iceberg lettuce, unit","Fruits , Vegetable and Nuts"
"Romaine lettuce, unit","Fruits , Vegetable and Nuts"
"Broccoli, unit","Fruits , Vegetable and Nuts"
"Peppers, per kilogram","Fruits , Vegetable and Nuts"
"Squash, per kilogram","Fruits , Vegetable and Nuts"
"Salad greens, 142 grams","Fruits , Vegetable and Nuts"
"Frozen french fried potatoes, 750 grams",Frozen Meals
"Frozen green beans, 750 grams",Frozen Fruit and Vegetables
"Frozen broccoli, 500 grams",Frozen Fruit and Vegetables
"Frozen corn, 750 grams ",Frozen Fruit and Vegetables
"Frozen mixed vegetables, 750 grams ",Frozen Fruit and Vegetables
"Frozen peas, 750 grams",Frozen Fruit and Vegetables
"Frozen pizza, 390 grams",Frozen Meals
"Frozen spinach, 300 grams",Frozen Fruit and Vegetables
"Frozen strawberries, 600 grams",Frozen Fruit and Vegetables
"White bread, 675 grams",Grains and Starches
"Flatbread and pita, 500 grams ",Grains and Starches
"Crackers and crisp breads, 200 grams ",Grains and Starches
"Cookies and sweet biscuits, 300 grams ",Grains and Starches
"Dry or fresh pasta, 500 grams",Grains and Starches
"Brown rice, 900 grams ",Grains and Starches
"White rice, 2 kilograms",Grains and Starches
"Cereal, 400 grams",Grains and Starches
"Wheat flour, 2.5 kilograms",Grains and Starches
"White sugar, 2 kilograms",Grains and Starches
"Apple juice, 2 litres",Beverages
"Orange juice, 2 litres",Beverages
"Roasted or ground coffee, 340 grams",Beverages
Tea (20 bags),Beverages
"Ketchup, 1 litre",Condiments
"Vegetable oil, 3 litres","Cooking, Baking Oil"
"Canola oil, 3 litres","Cooking, Baking Oil"
"Olive oil, 1 litre","Cooking, Baking Oil"
"Baby food, 128 millilitres",Infant Food and Items
"Infant formula, 900 grams ",Infant Food and Items
"Peanut butter, 1 kilogram","Fruits , Vegetable and Nuts"
"Mayonnaise, 890 millilitres ",Condiments
"Canned baked beans, 398 millilitres",Canned Foods
"Canned tomatoes, 796 millilitres",Canned Foods
"Canned soup, 284 millilitres",Canned Foods
"Canned beans and lentils, 540 millilitres",Canned Foods
"Canned corn, 341 millilitres",Canned Foods
"Canned peach, 398 millilitres",Canned Foods
"Canned pear, 398 millilitres",Canned Foods
"Dried lentils, 900 grams","Fruits , Vegetable and Nuts"
"Dry beans and legumes, 900 grams ","Fruits , Vegetable and Nuts"
"Tofu, 350 grams ",Other Food Items
"Hummus, 227 grams",Other Food Items
"Salsa, 418 millilitres",Other Food Items
"Pasta sauce, 650 millilitres",Other Food Items
"Salad dressing, 475 millilitres",Condiments
"Almonds, 200 grams","Fruits , Vegetable and Nuts"
"Peanuts, 450 grams","Fruits , Vegetable and Nuts"
"Sunflower seeds, 400 grams ","Fruits , Vegetable and Nuts"
"Deodorant, 85 grams",Laundry Detergent and Toiletries
"Toothpaste, 100 millilitres",Laundry Detergent and Toiletries
"Shampoo, 400 millilitres",Laundry Detergent and Toiletries
"Laundry detergent, 4.43 litres",Laundry Detergent and Toiletries
